customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend
0402-oamen,female,0,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.45,1709.1,no,48+,23.412328767123288
6933-vlyfx,male,0,yes,yes,31,no,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,59.95,1848.8,no,24-48,57.775
6754-wkshp,male,0,no,yes,30,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),25.35,723.3,no,24-48,23.33225806451613
9846-gkxas,female,0,no,no,9,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),90.8,809.75,yes,6-12,80.975
6017-pplpx,male,0,yes,yes,20,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.45,1470.95,yes,12-24,70.04523809523809
4976-lnfvv,male,1,yes,no,19,no,no phone service,dsl,no,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),34.3,577.15,no,12-24,28.857499999999998
5055-mgmgf,female,0,yes,no,65,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,105.05,6914.95,no,48+,104.77196969696969
4641-frolu,female,0,yes,yes,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.3,602.9,no,24-48,19.448387096774194
2862-jveoy,male,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.15,124.4,no,0-6,17.771428571428572
2969-qwubz,female,0,no,no,2,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,no,electronic check,51.4,96.8,no,0-6,32.266666666666666
9822-biign,male,0,yes,yes,53,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.85,3827.9,no,48+,70.88703703703703
2077-mpjqo,male,1,yes,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.4,533.05,no,6-12,66.63125
1534-oulxe,female,0,yes,yes,61,yes,no,dsl,yes,no,no,no,no,no,one year,yes,bank transfer (automatic),49.7,2961.4,no,48+,47.76451612903226
7136-rvdtz,male,1,no,no,70,no,no phone service,dsl,no,no,no,no,yes,yes,one year,yes,electronic check,45.25,3264.45,yes,48+,45.97816901408451
2971-sgafl,female,0,no,no,13,yes,yes,dsl,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,78.75,995.35,no,12-24,71.09642857142858
1480-ivevr,male,1,yes,no,35,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer (automatic),81.6,2815.25,no,24-48,78.20138888888889
2905-kfquv,female,0,yes,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),70.4,154.8,no,0-6,51.6
4581-sspwd,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.8,246.3,yes,0-6,61.575
3370-hxoph,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,76.1,257.6,no,0-6,64.4
9391-yzejw,female,0,no,no,62,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,yes,bank transfer (automatic),94.0,5757.2,no,48+,91.38412698412698
9958-mekuc,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,two year,no,credit card (automatic),103.95,7517.7,no,48+,102.98219178082192
0281-cntzx,male,0,yes,no,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.95,1234.8,no,48+,19.29375
6927-wtfiv,male,1,no,no,20,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),71.3,1389.2,yes,12-24,66.15238095238095
4118-cevpf,female,1,no,no,35,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),110.8,3836.3,no,24-48,106.5638888888889
3398-zouaa,male,1,yes,no,21,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.1,1474.75,yes,12-24,67.0340909090909
9114-vepuf,male,0,yes,no,62,yes,yes,fiber optic,yes,yes,no,no,no,yes,one year,no,electronic check,96.1,6001.45,no,48+,95.2611111111111
7876-beutg,female,0,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,48.8,720.1,no,12-24,45.00625
2338-bqezt,female,0,no,no,55,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,credit card (automatic),50.55,2832.75,no,48+,50.58482142857143
9873-mndkv,female,0,no,no,11,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.65,472.25,no,6-12,39.354166666666664
0378-nhqxu,female,0,yes,yes,17,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,88.25,1460.65,yes,12-24,81.14722222222223
8241-juiqo,female,0,no,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.45,1336.35,no,48+,21.554032258064513
2194-iiqof,female,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.3,6388.65,no,48+,88.73124999999999
4512-zuiyl,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),70.0,153.05,yes,0-6,51.01666666666667
9631-rxvjm,male,0,no,no,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.25,677.9,no,24-48,18.830555555555556
9584-excdz,female,0,no,no,17,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),70.5,1165.6,no,12-24,64.75555555555555
7969-aulmz,female,0,no,no,21,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,97.35,2119.5,yes,12-24,96.3409090909091
5093-feglu,female,0,yes,no,47,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.65,921.55,no,24-48,19.198958333333334
2621-udnlu,female,0,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,72.0,no,0-6,18.0
7526-ivlyu,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.65,68.35,no,0-6,17.0875
2428-hyunx,male,1,yes,no,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.35,847.25,no,24-48,18.82777777777778
9214-ekvxr,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.0,44.0,no,0-6,22.0
3410-mhhum,female,0,yes,yes,44,yes,yes,fiber optic,no,yes,yes,no,no,yes,one year,no,electronic check,94.4,4295.35,no,24-48,95.45222222222223
0568-onfpc,male,0,yes,yes,5,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),25.9,135.0,yes,0-6,22.5
0733-vunuw,male,0,no,no,24,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),55.65,1400.55,yes,12-24,56.022
4550-evxny,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.65,69.65,yes,0-6,34.825
2122-ywvya,female,0,no,no,18,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,75.4,1380.4,no,12-24,72.65263157894738
2968-ssgaa,female,0,no,no,10,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.6,1060.2,yes,6-12,96.38181818181819
2296-dkzfp,female,0,yes,no,65,yes,no,dsl,yes,yes,yes,no,no,yes,two year,no,bank transfer (automatic),71.0,4386.2,no,48+,66.45757575757575
4844-jjwuy,female,1,no,no,1,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,86.0,86.0,yes,0-6,43.0
6777-tghtm,female,0,no,no,53,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,credit card (automatic),106.95,5785.5,yes,48+,107.13888888888889
8909-bolnl,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,21.2,52.05,no,0-6,13.0125
6603-yrdcj,male,0,yes,no,33,yes,no,dsl,yes,yes,no,yes,no,no,two year,yes,mailed check,61.05,2018.4,no,24-48,59.36470588235294
3538-wzphd,male,0,no,no,3,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.6,79.45,yes,0-6,19.8625
3229-uswar,female,0,no,no,34,yes,no,dsl,yes,no,yes,yes,yes,yes,one year,yes,bank transfer (automatic),79.95,2727.3,no,24-48,77.92285714285715
2138-vfapz,female,0,yes,yes,14,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.7,263.65,no,12-24,17.576666666666664
6131-jlwzm,female,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.3,275.4,no,12-24,19.67142857142857
4785-qrjhc,male,1,yes,no,46,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),59.9,2816.65,yes,24-48,59.92872340425532
0269-xfesx,male,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.35,538.5,no,12-24,22.4375
1709-ejdox,female,0,yes,yes,47,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,948.9,no,24-48,19.76875
4316-xcslj,male,0,no,yes,17,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,50.3,846.8,no,12-24,47.044444444444444
8610-wfcjf,female,0,yes,yes,49,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.6,4783.5,yes,48+,95.67
9693-xmuob,male,1,yes,no,59,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.25,2997.45,no,48+,49.957499999999996
0383-cldda,female,0,no,no,69,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),85.35,5897.4,no,48+,84.24857142857142
4905-jefdw,male,0,no,no,11,no,no phone service,dsl,no,no,yes,no,yes,no,one year,yes,electronic check,41.6,470.6,yes,6-12,39.21666666666667
2709-uqgnp,male,0,no,no,10,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,51.65,524.5,no,6-12,47.68181818181818
3549-ztmnh,male,0,yes,yes,12,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.0,269.65,no,6-12,20.74230769230769
7881-inrlc,male,0,no,no,45,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),100.85,4740.0,yes,24-48,103.04347826086956
8033-atfas,female,0,yes,yes,39,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,yes,mailed check,59.85,2341.5,no,24-48,58.5375
1635-nzatj,male,1,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.45,1789.65,no,48+,24.856250000000003
0562-hkhml,male,0,yes,yes,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),23.9,1626.4,no,48+,22.58888888888889
8277-rvrsv,female,0,yes,yes,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),24.15,800.3,no,24-48,23.538235294117644
9943-vszuv,male,1,no,no,67,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,75.7,5060.85,no,48+,74.42426470588236
0117-lfrmw,male,0,yes,yes,37,no,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1448.8,yes,24-48,38.126315789473686
6172-fecyy,male,0,yes,yes,49,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,84.5,4254.85,yes,48+,85.09700000000001
7054-enngu,female,0,yes,no,9,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,50.85,466.6,no,6-12,46.660000000000004
1455-hfbxa,male,0,yes,no,52,yes,yes,fiber optic,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),91.6,4627.8,no,48+,87.31698113207547
9402-cxwpl,female,0,no,no,70,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,electronic check,98.9,6838.6,no,48+,96.31830985915494
1628-bizyp,male,0,no,no,1,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,85.0,85.0,no,0-6,42.5
1965-aktsx,female,1,no,no,14,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,78.95,1101.85,yes,12-24,73.45666666666666
0082-ldzue,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3,no,0-6,22.15
4786-uksnz,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,20.2,yes,0-6,10.1
5343-sgubi,female,0,no,no,52,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,mailed check,80.2,4297.6,no,48+,81.0867924528302
0856-naoes,male,0,no,no,6,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,no,mailed check,60.9,414.1,no,0-6,59.15714285714286
1976-azzpj,male,0,yes,no,7,no,no phone service,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,34.2,256.6,no,6-12,32.075
7248-vzqlc,female,1,no,no,47,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),85.2,3969.35,yes,24-48,82.69479166666666
6156-uzdlf,female,0,no,no,26,yes,no,fiber optic,yes,no,yes,yes,no,no,one year,yes,credit card (automatic),87.15,2274.1,no,24-48,84.22592592592592
3099-oonvs,male,0,yes,yes,25,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,electronic check,54.3,1296.8,no,24-48,49.87692307692308
9500-wbgrp,male,0,no,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.1,1268.85,no,48+,18.12642857142857
5183-klyem,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),112.75,8192.6,no,48+,112.22739726027397
5144-pqcdz,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.95,59.25,no,0-6,11.85
8514-vzheb,male,0,yes,yes,59,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.5,1147.85,no,48+,19.13083333333333
6625-iuttt,male,0,no,no,67,yes,no,dsl,yes,no,yes,no,no,yes,two year,no,bank transfer (automatic),65.55,4361.55,no,48+,64.14044117647059
9355-nppfs,female,1,no,no,26,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,78.8,2006.1,no,24-48,74.3
0068-figtf,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95,no,24-48,74.24821428571428
5965-ggprw,male,0,yes,yes,72,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer (automatic),105.25,7609.75,no,48+,104.2431506849315
8035-pwsev,female,0,no,no,6,yes,no,fiber optic,no,no,yes,yes,no,yes,month-to-month,yes,electronic check,89.25,487.05,no,0-6,69.57857142857144
2236-hilpa,male,0,yes,yes,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.65,1218.45,no,48+,19.340476190476192
1840-biuog,male,0,no,no,20,yes,yes,dsl,no,yes,no,yes,yes,no,one year,yes,electronic check,68.7,1416.2,no,12-24,67.43809523809524
1356-mkysk,male,0,no,no,6,yes,no,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,credit card (automatic),78.65,483.3,no,0-6,69.04285714285714
6080-lnesi,male,0,no,no,51,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,24.75,1234.6,no,48+,23.74230769230769
1830-ipxvj,female,0,yes,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.75,1311.6,no,48+,21.154838709677417
5828-dwpil,male,1,yes,no,62,yes,yes,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,electronic check,89.1,5618.3,no,48+,89.17936507936508
8398-tbiyd,female,0,no,no,72,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,bank transfer (automatic),84.7,6185.15,no,48+,84.72808219178081
0011-igkff,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,1237.85,yes,12-24,88.41785714285713
4192-gorjt,male,0,yes,no,5,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.45,498.1,yes,0-6,83.01666666666667
6496-slwhq,male,1,no,no,3,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,105.0,294.45,yes,0-6,73.6125
9912-gvseq,female,1,yes,no,26,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,93.85,2381.55,yes,24-48,88.20555555555556
2931-fsohn,male,1,no,no,13,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,yes,electronic check,59.9,788.35,no,12-24,56.31071428571429
9418-rukph,female,0,yes,yes,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,756.4,no,24-48,19.394871794871793
5383-mmtwc,female,1,yes,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.0,613.4,yes,6-12,68.15555555555555
9971-zwpbf,male,1,yes,yes,34,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,108.9,3625.2,no,24-48,103.57714285714285
4712-auqzo,male,0,no,no,18,no,no phone service,dsl,yes,no,yes,no,no,no,month-to-month,no,mailed check,33.6,550.35,no,12-24,28.96578947368421
9711-fjtbx,male,0,yes,yes,56,yes,no,fiber optic,no,yes,yes,yes,no,no,one year,yes,mailed check,85.85,4793.8,no,48+,84.10175438596491
2908-ztpnf,female,0,no,no,36,no,no phone service,dsl,no,yes,no,yes,no,no,month-to-month,yes,bank transfer (automatic),34.85,1267.2,no,24-48,34.24864864864865
7240-etptr,female,0,yes,no,9,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,48.75,442.2,yes,6-12,44.22
2202-cuyxz,male,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,84.85,84.85,yes,0-6,42.425
5995-oiglp,male,0,no,no,12,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed check,56.65,654.85,yes,6-12,50.37307692307692
8421-wzoow,female,1,yes,yes,57,yes,no,fiber optic,no,yes,yes,yes,yes,no,month-to-month,yes,credit card (automatic),95.3,5567.45,no,48+,95.99051724137931
6261-rcvns,female,0,no,no,42,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,no,credit card (automatic),73.9,3160.55,yes,24-48,73.50116279069768
7951-qkzpl,female,0,yes,yes,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.5,740.3,yes,24-48,21.773529411764706
1414-yadcw,male,0,yes,no,70,yes,no,fiber optic,yes,yes,no,yes,no,no,two year,no,bank transfer (automatic),84.6,5706.2,no,48+,80.36901408450704
8756-rddlt,female,0,no,no,68,no,no phone service,dsl,no,yes,no,yes,no,yes,month-to-month,no,electronic check,44.95,3085.35,no,48+,44.71521739130435
2862-pfnik,male,0,no,yes,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.7,24.7,no,0-6,12.35
5816-qvhrx,female,0,no,no,37,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,no,credit card (automatic),100.3,3541.4,no,24-48,93.19473684210527
4430-yhxgg,female,0,no,yes,4,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,25.45,84.2,no,0-6,16.84
6888-sbyai,male,0,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,50.7,50.7,no,0-6,25.35
7395-xwzoy,male,0,no,no,20,no,no phone service,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,credit card (automatic),55.0,1165.55,no,12-24,55.50238095238095
7169-ywamk,male,0,yes,yes,72,yes,no,dsl,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),68.4,4855.35,no,48+,66.51164383561644
3640-phqxk,female,0,no,no,31,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,89.9,2806.9,yes,24-48,87.715625
6877-lgwxo,male,1,yes,no,18,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,78.55,1422.65,yes,12-24,74.8763157894737
6859-rkmzj,male,0,yes,no,11,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),55.05,608.15,no,6-12,50.67916666666667
2729-vnvap,female,0,yes,yes,33,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,641.35,no,24-48,18.863235294117647
2957-jirmn,female,1,no,no,62,yes,yes,fiber optic,no,no,no,no,yes,no,one year,no,electronic check,84.45,4959.15,no,48+,78.71666666666665
2049-bafnw,female,0,no,no,1,no,no phone service,dsl,no,no,yes,yes,no,no,month-to-month,no,mailed check,35.9,35.9,no,0-6,17.95
3842-qtgdl,male,0,yes,no,16,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),80.75,1321.3,no,12-24,77.7235294117647
7163-oceqi,male,0,yes,yes,22,yes,yes,dsl,no,no,yes,yes,yes,yes,one year,yes,mailed check,78.65,1663.75,no,12-24,72.33695652173913
9782-lgxmc,female,0,yes,yes,49,yes,no,dsl,yes,no,yes,yes,no,no,month-to-month,no,bank transfer (automatic),61.75,3024.15,no,48+,60.483000000000004
5975-baicr,male,0,yes,yes,36,yes,no,dsl,yes,no,yes,no,no,yes,one year,yes,credit card (automatic),63.7,2188.5,no,24-48,59.148648648648646
8019-enhxu,male,0,yes,no,42,yes,yes,fiber optic,no,yes,yes,yes,no,yes,month-to-month,yes,electronic check,99.45,4138.05,yes,24-48,96.23372093023256
5167-gbfre,male,1,no,no,4,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),25.2,102.5,yes,0-6,20.5
9033-eoxwv,female,0,no,no,12,yes,yes,dsl,no,no,no,yes,yes,yes,one year,no,mailed check,74.05,872.65,yes,6-12,67.12692307692308
4673-kksls,female,0,no,no,31,yes,no,fiber optic,yes,no,yes,yes,no,no,month-to-month,no,electronic check,87.6,2724.25,no,24-48,85.1328125
4853-oitsn,male,0,yes,no,5,yes,yes,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,electronic check,89.15,413.25,no,0-6,68.875
9800-ouigr,male,0,yes,yes,66,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.0,1374.2,no,48+,20.51044776119403
1324-nltje,female,1,no,no,15,yes,yes,dsl,no,no,no,yes,no,no,month-to-month,no,credit card (automatic),55.0,757.1,yes,12-24,47.31875
2324-efhvg,male,0,no,no,64,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.4,6692.65,no,48+,102.96384615384615
7094-mszao,male,0,yes,yes,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),20.05,218.5,no,6-12,19.863636363636363
1522-vvdmg,male,0,yes,yes,7,yes,no,fiber optic,no,yes,no,yes,yes,no,month-to-month,yes,electronic check,89.75,608.8,yes,6-12,76.1
6907-cqgpn,male,0,no,no,29,no,no phone service,dsl,no,yes,no,yes,no,no,month-to-month,no,electronic check,34.3,1004.75,no,24-48,33.49166666666667
0780-xnzfn,male,0,no,no,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.65,1125.6,no,48+,19.406896551724138
0239-oxexl,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,3847.6,no,24-48,81.86382978723404
2675-ijrgj,male,0,no,no,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.65,978.0,no,48+,18.11111111111111
7049-gkvzy,female,0,no,no,17,yes,no,dsl,yes,yes,no,yes,yes,yes,one year,no,credit card (automatic),79.85,1387.35,no,12-24,77.07499999999999
8577-qsocg,female,0,yes,yes,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,20.2,746.05,no,24-48,19.129487179487178
3721-cnzhx,male,0,no,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.8,304.6,no,12-24,19.0375
0212-isbbf,female,0,no,no,22,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85,no,12-24,47.77608695652174
9185-tqcvp,male,0,yes,no,14,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.15,1139.2,yes,12-24,75.94666666666667
3585-ynadk,female,0,yes,no,57,yes,yes,dsl,no,yes,yes,yes,yes,no,one year,no,bank transfer (automatic),74.6,4368.95,no,48+,75.32672413793104
5271-dbysj,male,1,no,no,11,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,credit card (automatic),79.15,827.7,no,6-12,68.97500000000001
1099-godlo,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.35,20.35,no,0-6,10.175
6828-hmkwp,male,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.05,262.05,no,6-12,20.157692307692308
5567-wsele,male,1,yes,no,3,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,94.6,279.55,yes,0-6,69.8875
1472-tncwl,male,0,no,yes,36,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,94.7,3512.5,no,24-48,94.93243243243244
8063-rjynf,male,0,no,no,16,yes,no,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,94.25,1483.25,yes,12-24,87.25
0687-zvthb,male,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,no,no,yes,one year,no,credit card (automatic),72.45,4653.85,yes,48+,70.51287878787879
2080-gkcwq,male,0,no,no,2,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,no,electronic check,74.95,151.75,no,0-6,50.583333333333336
9661-acxbs,female,0,no,no,42,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,105.2,4400.75,yes,24-48,102.34302325581395
